sample,plot,year,OM,ENR,P1,P2,PH,K,MG,CA,NA,H,CEC,K_PCT,MG_PCT,CA_PCT,H_PCT,NA_PCT,NO3_N,S,ZN,MN,FE,CU,B,EX__LIME,S__SALTS,SAND,SILT,CLAY,TEXTURE,,,,,,,,,,,,,,,,,,,
NPS2,,feb2016,1,45,17,18.1,4.5,164,189,376,57,5.7,9.7,4.3,16,19,58,2.5,8,5,1,18,24,0.2,0.1,,0,80,8,12,LOAMY SAND,,,,,,,,,,,,,,,,,,,
NPS2,,april2016,2,79,19,19.8,4.9,265,360,996,103,7.1,16.2,4.2,18.3,30.7,44,2.8,16,7,4,42,58,1,1,,0,80.4,8.0,11.6,LOAMY SAND,,,,,,,,,,,,,,,,,,,
EO16,,feb 2015,1.2,54,13,13,5.5,89,156,449,53,1,5,4,24,42,26,4,5,14,0.5,6,11,0.1,0.3,M,0,82,6,12,LOAMY SAND,,,,,,,,,,,,,,,,,,,
EO16,,march2015,0.5,40,19,25,5.5,144,132,481,46,1,6,7,20,44,26,4,3,6,0.9,13,19,0.2,0.6,M,0,79,10,11,LOAMY SAND,,,,,,,,,,,,,,,,,,,
EO16,,april2015,0.5,40,24,26,5.6,141,131,663,47,,7,6,17,51,24,3,8,3,1.0,75,43,0.5,0.1,M,0,80,8,12,LOAMY SAND,,,,,,,,,,,,,,,,,,,
EO16,,feb2016,1.0,49,14,15.5,5.3,130,145,349,56,1.6,5.1,6.5,23,34,31,4.8,5,3,1,11,13,0.1,0.2,,0,78,8,14,LOAMY SAND,,,,,,,,,,,,,,,,,,,
EO16,,may2016,0.3,35,16,18,6.6,158,182,449,67,0.3,4.7,8.6,31.7,47.5,6,6.2,11,13,1,15,15,0,0,,0,76.8,12,11.2,LOAMY SAND,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
