serial_number;tree_location;date_time;date (mdy);time;rh;t_rh;t;l1;battery
SN319439 (jsi_pnt_1);T27;7/25/2016 12:00:00 PM;7/25/2016;12:00:00 PM;84,7;19,70000076;18,3;635,3237305;3,89
SN319439 (jsi_pnt_1);T27;7/25/2016 4:00:00 PM;7/25/2016;4:00:00 PM;92,9;20,61000061;20,3;1588,309326;3,89
SN319439 (jsi_pnt_1);T27;7/25/2016 8:00:00 PM;7/25/2016;8:00:00 PM;91,2;18,21999931;18,3;0;3,89
SN319439 (jsi_pnt_1);T27;7/26/2016 12:00:00 AM;7/26/2016;12:00:00 AM;92,5;17,52000046;17,6;0;3,89
SN319439 (jsi_pnt_1);T27;7/26/2016 4:00:00 AM;7/26/2016;4:00:00 AM;92,9;15,42000008;15,4;0;3,89
SN319439 (jsi_pnt_1);T27;7/26/2016 8:00:00 AM;7/26/2016;8:00:00 AM;93,3;15,14999962;14,9;306,7080078;3,89
SN319439 (jsi_pnt_1);T27;7/26/2016 12:00:00 PM;7/26/2016;12:00:00 PM;90,4;20,35000038;20,4;2442,710205;3,89
SN319439 (jsi_pnt_1);T27;7/26/2016 4:00:00 PM;7/26/2016;4:00:00 PM;91,6;18,79999924;18,7;536,7390137;3,89
SN319439 (jsi_pnt_1);T27;7/26/2016 8:00:00 PM;7/26/2016;8:00:00 PM;92,3;17,35000038;17,5;0;3,89
SN319439 (jsi_pnt_1);T27;7/27/2016 12:00:00 AM;7/27/2016;12:00:00 AM;93;16,37000084;16,4;0;3,89
SN319439 (jsi_pnt_1);T27;7/27/2016 4:00:00 AM;7/27/2016;4:00:00 AM;93,4;16,11000061;15,9;0;3,89
SN319439 (jsi_pnt_1);T27;7/27/2016 8:00:00 AM;7/27/2016;8:00:00 AM;93,7;17;16,8;427,2004395;3,89
SN319439 (jsi_pnt_1);T27;7/27/2016 12:00:00 PM;7/27/2016;12:00:00 PM;92,9;19,02000046;18,9;1922,401978;3,89
SN319439 (jsi_pnt_1);T27;7/27/2016 4:00:00 PM;7/27/2016;4:00:00 PM;92,5;18,55999947;18,4;1013,231812;3,89
SN319439 (jsi_pnt_1);T27;7/27/2016 8:00:00 PM;7/27/2016;8:00:00 PM;93,2;17,81999969;17,9;0;3,89
SN319439 (jsi_pnt_1);T27;7/28/2016 12:00:00 AM;7/28/2016;12:00:00 AM;93,7;17,79999924;17,6;0;3,89
SN319439 (jsi_pnt_1);T27;7/28/2016 4:00:00 AM;7/28/2016;4:00:00 AM;93,7;16,73999977;16,8;0;3,89
SN319439 (jsi_pnt_1);T27;7/28/2016 8:00:00 AM;7/28/2016;8:00:00 AM;94;17,54999924;17,3;268,3695068;3,89
SN319439 (jsi_pnt_1);T27;7/28/2016 12:00:00 PM;7/28/2016;12:00:00 PM;92,8;19,21999931;19,2;2081,23291;3,89
SN319439 (jsi_pnt_1);T27;7/28/2016 4:00:00 PM;7/28/2016;4:00:00 PM;86,7;22,62999916;22,6;2760,37207;3,89
SN319439 (jsi_pnt_1);T27;7/28/2016 8:00:00 PM;7/28/2016;8:00:00 PM;91,4;18,47999954;18,4;0;3,89
SN319439 (jsi_pnt_1);T27;7/29/2016 12:00:00 AM;7/29/2016;12:00:00 AM;92,8;17,87999916;17,8;0;3,89
SN319439 (jsi_pnt_1);T27;7/29/2016 4:00:00 AM;7/29/2016;4:00:00 AM;92,9;15,61999989;15,6;0;3,89
SN319439 (jsi_pnt_1);T27;7/29/2016 8:00:00 AM;7/29/2016;8:00:00 AM;93,5;16,15999985;15,9;547,6928711;3,89
SN319439 (jsi_pnt_1);T27;7/29/2016 12:00:00 PM;7/29/2016;12:00:00 PM;93,2;19,32999992;19,3;635,3237305;3,89
SN319439 (jsi_pnt_1);T27;7/29/2016 4:00:00 PM;7/29/2016;4:00:00 PM;93,5;20,55999947;20,5;295,7541504;3,89
SN319439 (jsi_pnt_1);T27;7/29/2016 8:00:00 PM;7/29/2016;8:00:00 PM;92,7;16,75;16,7;0;3,89
SN319439 (jsi_pnt_1);T27;7/30/2016 12:00:00 AM;7/30/2016;12:00:00 AM;93,3;16,11000061;16;0;3,89
SN319439 (jsi_pnt_1);T27;7/30/2016 4:00:00 AM;7/30/2016;4:00:00 AM;93,7;16,34000015;16,3;0;3,89
SN319439 (jsi_pnt_1);T27;7/30/2016 8:00:00 AM;7/30/2016;8:00:00 AM;93,7;16,57999992;16,4;673,6622314;3,89
